Size,AvgCPUTime_s,MaxCPUTime_s,AvgCost,MaxCost,InstanceCount
392,0.698475,0.947215,3.60,4,10
393,0.536442,1.020170,3.80,4,10
394,0.469960,0.777773,3.80,4,10
395,0.455878,0.753107,3.90,4,10
396,0.663415,0.936751,3.80,4,10
397,0.495954,1.029496,3.80,4,10
398,0.697432,0.944325,3.70,4,10
399,0.572691,1.032022,3.40,4,10
400,0.357429,0.727468,3.90,4,10
401,0.388734,0.755919,3.80,4,10
402,0.536030,0.735777,3.70,4,10
403,0.373955,0.683837,3.80,4,10
404,0.441778,0.738389,3.80,4,10
405,0.546064,0.760970,3.50,4,10
406,0.479573,0.753965,3.90,4,10
407,0.430805,0.771197,3.80,4,10
408,0.497511,0.815337,3.50,4,10
409,0.457877,1.105500,3.90,4,10
410,0.600652,1.101726,3.60,4,10
411,0.584823,0.883760,3.80,4,10
412,0.578060,1.090866,3.80,4,10
413,0.546945,0.905029,4.00,4,10
414,0.529211,1.060461,3.80,4,10
415,0.786511,1.046013,3.90,4,10
416,0.708815,1.050840,3.80,4,10
417,0.701869,1.055072,3.80,4,10
418,0.633247,1.093104,3.70,4,10
419,0.487344,1.003196,3.70,4,10
420,0.639430,1.182467,3.80,4,10
421,0.654812,1.167328,3.70,4,10
422,0.626967,1.042888,3.80,4,10
423,0.641511,1.119654,3.60,4,10
424,0.495116,0.946824,3.80,4,10
425,0.467584,0.888649,3.80,4,10
426,0.658973,1.213342,3.60,4,10
427,0.648806,1.195523,3.80,4,10
428,0.693855,1.173060,3.80,4,10
429,0.649635,1.083323,3.80,4,10
430,0.722033,1.121970,3.90,4,10
431,0.730195,1.184063,3.60,4,10
432,0.663104,1.200348,3.90,4,10
433,0.703785,1.164936,3.80,4,10
434,0.650526,1.224592,3.60,4,10
435,0.663537,1.181754,3.60,4,10
436,0.836823,1.070082,3.40,4,10
437,0.690834,0.995118,3.60,4,10
438,0.915136,1.278930,3.60,4,10
439,0.590422,1.146992,3.90,4,10
440,0.558285,1.006883,4.00,4,10
441,0.590304,1.250056,3.80,4,10
442,0.757316,1.334968,3.90,4,10
443,0.760197,1.249505,3.70,4,10
444,0.493059,0.900541,3.80,4,10
445,0.583908,1.095497,3.90,4,10
446,0.751018,1.285395,3.60,4,10
447,0.659201,1.068983,3.60,4,10
448,0.650047,0.898901,3.60,4,10
449,0.588272,0.847328,3.70,4,10
450,0.468534,0.910761,3.80,4,10
451,0.502312,0.941417,3.80,4,10
452,0.531230,0.939577,3.70,4,10
453,0.706331,0.939372,3.40,4,10
454,0.492031,0.818973,3.90,4,10
455,0.573611,0.972672,3.90,4,10
456,0.495674,0.933444,3.90,4,10
457,0.373487,0.909619,4.00,4,10
458,0.736617,1.218768,4.00,4,10
459,0.777394,1.425742,3.70,4,10
460,0.798930,1.158902,3.70,4,10
461,0.495457,0.953029,3.90,4,10
462,0.619676,0.989887,3.70,4,10
463,0.552784,0.914836,3.80,4,10
464,0.585257,0.995630,3.80,4,10
465,0.618625,1.034699,3.80,4,10
466,0.649530,1.044200,3.80,4,10
467,0.568193,0.910385,3.80,4,10
468,0.666285,1.191260,3.80,4,10
469,0.829661,1.448822,3.70,4,10
470,0.963065,1.443178,3.60,4,10
471,0.685293,1.353810,3.70,4,10
472,0.790885,1.366759,3.90,4,10
473,0.656874,0.958954,3.80,4,10
474,0.517826,0.909245,3.90,4,10
475,0.569827,0.895986,3.80,4,10
476,0.637908,0.984773,3.90,4,10
477,0.845304,1.319875,4.00,4,10
478,0.873430,1.450819,3.90,4,10
479,0.689547,1.185254,3.90,4,10
480,0.793595,1.425271,3.60,4,10
481,0.859681,1.477527,3.90,4,10
482,0.634320,1.182204,3.90,4,10
483,0.933358,1.424583,3.90,4,10
484,0.731603,1.429684,4.00,4,10
485,0.756452,1.463182,3.80,4,10
486,0.797326,1.493798,3.70,4,10
487,0.782042,1.475439,3.90,4,10
488,0.706227,1.138424,4.00,4,10
489,0.779009,1.571582,3.90,4,10
490,0.688439,1.553177,3.90,4,10
491,0.790866,1.598669,3.90,4,10
492,0.709750,1.040287,3.70,4,10
493,0.501347,0.998228,3.90,4,10
494,0.611180,1.148796,3.60,4,10
495,0.717774,1.125079,3.60,4,10
496,0.681085,0.984915,3.80,4,10
497,0.779769,1.580197,3.60,4,10
498,0.783119,1.348814,4.00,4,10
499,0.689356,1.506891,4.00,4,10
500,0.773654,1.458311,3.70,4,10
501,0.975132,1.511258,3.80,4,10
502,0.835525,1.518388,3.90,4,10
503,0.980421,1.596345,3.90,4,10
504,0.901934,1.284203,3.80,4,10
505,0.818293,1.291351,3.60,4,10
506,0.842253,1.296134,4.00,4,10
507,0.934093,1.560947,3.70,4,10
508,0.920333,1.574406,3.80,4,10
509,0.612816,1.007473,4.00,4,10
510,0.616943,1.147112,3.60,4,10
511,0.820755,1.224437,3.50,4,10
512,0.497674,0.965365,3.90,4,10
513,0.495107,1.024325,3.90,4,10
514,0.725292,1.090848,3.90,4,10
515,0.648599,1.093418,3.80,4,10
516,0.823738,1.226132,3.70,4,10
517,0.670459,1.096021,3.90,4,10
518,0.626710,1.143320,3.90,4,10
519,0.819509,1.175617,3.80,4,10
520,0.624242,1.164390,3.90,4,10
521,0.748219,1.265446,3.60,4,10
522,0.714320,1.220351,3.80,4,10
523,0.766763,1.276010,3.70,4,10
524,0.897730,1.515670,3.80,4,10
