Size,AvgCPUTime_s,MaxCPUTime_s,AvgCost,MaxCost,InstanceCount
744,0.205321,0.235531,9.00,9,10
745,0.210916,0.218693,9.00,9,10
746,0.215651,0.251528,9.00,9,10
747,0.284223,0.321854,9.00,9,10
748,0.294514,0.343644,9.00,9,10
749,0.237215,0.306971,9.00,9,10
750,0.299953,0.355814,9.00,9,10
751,0.297721,0.324933,9.00,9,10
752,0.287566,0.304244,9.00,9,10
753,0.299863,0.320037,9.00,9,10
754,0.300028,0.312850,9.00,9,10
755,0.278812,0.325093,9.00,9,10
756,0.217113,0.251685,9.00,9,10
757,0.212166,0.220328,9.00,9,10
758,0.221121,0.260562,9.00,9,10
759,0.206129,0.218067,9.00,9,10
760,0.208856,0.222937,9.00,9,10
761,0.219213,0.235284,9.00,9,10
762,0.209888,0.230247,9.00,9,10
763,0.207864,0.227390,9.00,9,10
764,0.223495,0.258855,9.00,9,10
765,0.255294,0.272794,9.00,9,10
766,0.251438,0.280380,9.00,9,10
767,0.262799,0.300326,9.00,9,10
768,0.273961,0.323511,9.00,9,10
769,0.302032,0.340551,9.10,10,10
770,0.304567,0.322340,9.00,9,10
771,0.305912,0.361565,9.00,9,10
772,0.297789,0.313580,9.00,9,10
773,0.264220,0.285165,8.90,9,10
774,0.262284,0.295015,9.00,9,10
775,0.258648,0.304621,9.00,9,10
776,0.303420,0.320127,9.00,9,10
777,0.314730,0.343768,9.00,9,10
778,0.307098,0.334513,9.00,9,10
779,0.307035,0.353975,9.00,9,10
780,0.297637,0.369425,9.00,9,10
781,0.232442,0.273658,9.00,9,10
782,0.302809,0.321108,9.00,9,10
783,0.314492,0.326752,9.00,9,10
784,0.316469,0.334792,9.00,9,10
785,0.320052,0.386483,9.00,9,10
786,0.239489,0.257346,9.10,10,10
787,0.243823,0.275794,9.00,9,10
788,0.231559,0.248926,9.00,9,10
789,0.224350,0.235384,9.00,9,10
790,0.229546,0.242287,9.00,9,10
791,0.229455,0.242481,9.00,9,10
792,0.222217,0.229713,9.00,9,10
793,0.230955,0.239730,9.00,9,10
794,0.234671,0.272387,9.00,9,10
795,0.302483,0.361882,9.00,9,10
796,0.325255,0.358555,9.10,10,10
797,0.326429,0.336827,9.00,9,10
798,0.282410,0.333014,9.00,9,10
799,0.299783,0.343231,9.00,9,10
800,0.275221,0.295997,9.00,9,10
801,0.303190,0.335271,9.00,9,10
802,0.330844,0.367540,9.00,9,10
803,0.255176,0.329282,9.00,9,10
804,0.235507,0.262116,9.00,9,10
805,0.324517,0.355139,9.00,9,10
806,0.324405,0.336432,9.00,9,10
807,0.331729,0.394602,9.00,9,10
808,0.336098,0.381733,9.00,9,10
809,0.333197,0.348865,9.00,9,10
810,0.333088,0.374960,9.00,9,10
811,0.327643,0.339382,9.00,9,10
812,0.333313,0.346374,9.00,9,10
813,0.330369,0.339779,9.00,9,10
814,0.325347,0.336285,9.00,9,10
815,0.322926,0.355467,9.00,9,10
816,0.326267,0.337853,9.00,9,10
817,0.338507,0.348405,9.00,9,10
818,0.337696,0.381773,9.00,9,10
819,0.331981,0.341664,9.00,9,10
820,0.334339,0.381297,9.10,10,10
821,0.344707,0.403812,9.10,10,10
822,0.341637,0.351185,9.00,9,10
823,0.340024,0.386222,9.00,9,10
824,0.344896,0.368426,9.00,9,10
825,0.338474,0.351761,9.00,9,10
826,0.331177,0.391517,9.10,10,10
827,0.331832,0.348443,9.00,9,10
828,0.333360,0.348576,9.00,9,10
829,0.335541,0.370884,9.00,9,10
830,0.336537,0.363858,9.00,9,10
831,0.335514,0.358612,9.10,10,10
832,0.333783,0.362960,9.00,9,10
833,0.335791,0.358150,9.00,9,10
834,0.350017,0.385049,9.00,9,10
835,0.342072,0.373457,9.00,9,10
836,0.337504,0.354999,9.00,9,10
837,0.338625,0.370073,9.00,9,10
838,0.349978,0.382020,9.00,9,10
839,0.349074,0.395374,9.10,10,10
840,0.344226,0.378833,9.00,9,10
841,0.346791,0.433452,9.10,10,10
842,0.348443,0.360656,9.00,9,10
843,0.361670,0.415465,9.10,10,10
844,0.342888,0.375424,9.00,9,10
845,0.351706,0.384889,9.10,10,10
846,0.344418,0.386568,9.00,9,10
847,0.345241,0.388194,9.00,9,10
848,0.294901,0.350624,9.00,9,10
849,0.246902,0.283120,9.00,9,10
850,0.241985,0.250178,9.10,10,10
851,0.253620,0.279695,9.10,10,10
852,0.351038,0.373132,9.00,9,10
853,0.368182,0.416870,9.20,10,10
854,0.365199,0.382613,9.00,9,10
855,0.366920,0.435658,9.10,10,10
856,0.360462,0.385951,9.10,10,10
857,0.262431,0.289343,9.00,9,10
858,0.266174,0.294647,9.10,10,10
859,0.260611,0.286477,9.10,10,10
860,0.249199,0.275160,9.00,9,10
861,0.252266,0.287342,9.00,9,10
862,0.362401,0.425192,9.10,10,10
863,0.360311,0.395103,9.00,9,10
864,0.373805,0.419584,9.30,10,10
865,0.380342,0.415705,9.00,9,10
866,0.368213,0.378127,9.10,10,10
867,0.374747,0.431207,9.20,10,10
868,0.364800,0.411418,9.10,10,10
869,0.362040,0.370828,9.10,10,10
870,0.376280,0.434964,9.10,10,10
871,0.359790,0.381703,9.00,9,10
872,0.367592,0.397264,9.00,9,10
873,0.304706,0.378468,9.00,9,10
874,0.254478,0.286673,9.00,9,10
875,0.251402,0.261601,9.00,9,10
876,0.259507,0.279911,9.00,9,10
877,0.251809,0.274967,9.10,10,10
878,0.307337,0.352466,9.10,10,10
879,0.355517,0.382893,9.10,10,10
880,0.350846,0.379868,9.10,10,10
881,0.351548,0.378239,9.10,10,10
882,0.362941,0.426334,9.10,10,10
883,0.356630,0.385474,9.00,9,10
884,0.286548,0.371196,9.10,10,10
885,0.254334,0.283251,9.10,10,10
886,0.268822,0.315905,9.30,10,10
887,0.261386,0.302328,9.10,10,10
888,0.266744,0.290629,9.10,10,10
889,0.319202,0.435662,9.20,10,10
890,0.362218,0.388751,9.10,10,10
891,0.361577,0.391725,9.00,9,10
892,0.342475,0.404277,9.20,10,10
893,0.345018,0.367553,9.00,9,10
894,0.366715,0.406202,9.20,10,10
895,0.355659,0.421442,9.20,10,10
896,0.366268,0.398284,9.40,10,10
897,0.369285,0.406968,9.20,10,10
898,0.354979,0.408054,9.10,10,10
899,0.363592,0.399700,9.00,9,10
900,0.359294,0.398942,9.10,10,10
901,0.348402,0.372716,9.10,10,10
902,0.361146,0.403882,9.20,10,10
903,0.362074,0.375692,9.10,10,10
904,0.364551,0.408064,9.10,10,10
905,0.316048,0.424582,9.20,10,10
906,0.281281,0.309262,9.00,9,10
907,0.365584,0.409474,9.20,10,10
908,0.380014,0.444297,9.50,10,10
909,0.365676,0.399922,9.10,10,10
910,0.364659,0.394042,9.00,9,10
911,0.370845,0.394422,9.30,10,10
912,0.364724,0.405727,9.30,10,10
913,0.374024,0.417516,9.00,9,10
914,0.375540,0.430794,9.20,10,10
915,0.372736,0.403145,9.30,10,10
916,0.369706,0.401648,9.10,10,10
917,0.380822,0.421692,9.00,9,10
918,0.389373,0.445324,9.50,10,10
919,0.383411,0.425871,9.10,10,10
920,0.399917,0.426786,9.10,10,10
921,0.399186,0.450268,9.30,10,10
922,0.380807,0.405310,9.10,10,10
923,0.382247,0.433845,9.40,10,10
924,0.384997,0.410909,9.20,10,10
925,0.398207,0.436955,9.30,10,10
926,0.394243,0.436410,9.10,10,10
927,0.379833,0.413845,9.20,10,10
928,0.399188,0.446249,9.20,10,10
929,0.390209,0.421291,9.10,10,10
930,0.390769,0.419424,9.30,10,10
931,0.382564,0.412608,9.10,10,10
932,0.376290,0.422363,9.10,10,10
933,0.379868,0.435847,9.20,10,10
934,0.384503,0.419566,9.20,10,10
935,0.326471,0.371661,9.10,10,10
936,0.383864,0.424266,9.30,10,10
937,0.391164,0.431714,9.40,10,10
938,0.388031,0.446941,9.10,10,10
939,0.382889,0.424209,9.20,10,10
940,0.388322,0.420627,9.30,10,10
941,0.395330,0.450663,9.20,10,10
942,0.360698,0.447270,9.20,10,10
943,0.335569,0.367473,9.20,10,10
944,0.349368,0.396822,9.20,10,10
945,0.409166,0.462440,9.40,10,10
946,0.411291,0.466987,9.40,10,10
947,0.394414,0.438889,9.10,10,10
948,0.403308,0.464659,9.40,10,10
949,0.396701,0.429543,9.30,10,10
950,0.395425,0.455887,9.20,10,10
951,0.374295,0.387272,9.00,9,10
952,0.384508,0.424492,9.30,10,10
953,0.341011,0.379231,9.30,10,10
954,0.340898,0.407082,9.10,10,10
955,0.397440,0.449008,9.20,10,10
956,0.410671,0.479061,9.20,10,10
957,0.417367,0.460821,9.50,10,10
958,0.417692,0.451542,9.50,10,10
959,0.402806,0.430257,9.00,9,10
960,0.403922,0.434592,9.30,10,10
961,0.399776,0.459731,9.30,10,10
962,0.408142,0.452247,9.20,10,10
963,0.388793,0.444599,9.20,10,10
964,0.352277,0.398687,9.20,10,10
965,0.353638,0.434474,9.20,10,10
966,0.402582,0.448278,9.10,10,10
967,0.403356,0.428638,9.30,10,10
968,0.415942,0.461276,9.40,10,10
969,0.417584,0.462705,9.30,10,10
970,0.416268,0.447393,9.30,10,10
971,0.417082,0.478059,9.20,10,10
972,0.407135,0.440326,9.20,10,10
973,0.399324,0.443240,9.30,10,10
974,0.378114,0.409082,9.10,10,10
975,0.352716,0.408548,9.40,10,10
976,0.364176,0.433487,9.20,10,10
977,0.408142,0.450180,9.30,10,10
